Investment Name	Sponsor	Property Type	Location	Average Annual Return	Equity Multiple	Holding Period	City	Location Note	Asset Class	Asset Class 2
Cielo on Gilbert	Bluerock	Multifamily / residential	AZ	1.782971	4.26878	1.833333	Phoenix		Multifamily / Residential	
East Storesmart of Conway SC	Reliant	Self storage		0.160032	1.68	4.25		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
2215 Sanders Road - Northbrook, IL	Syndicated Equities		IL	-0.0803	0.18	10.21	Northbrook			
Hampton Inn - Jekyll Island, GA	Peachtree Group	Hotel		0.1783	1.88	4.94			Hotel / Hospitality	
Lively at Carolina Forest - Myrtle Beach, SC	Passco Companies	Multifamily / residential	SC	0.2097	1.7696	3.67	Myrtle Beach		Multifamily / Residential	
Wells Fargo Building - Fort Wayne, IN (FORECLOSED - excluded from IPC disposition table)	Inland Private Capital	Office							Office	
Epic Hotel - Pico Rivera, CA	Peachtree Group	Credit - Hotel		0.3596	1.19	0.53			Credit / Debt	
Abbott Labs Bio-Medical Portfolio - Minnetonka, MN	Syndicated Equities		MN	0.2668	2.35	5.06	Minnetonka			
Residence Inn - Des Moines, IA	Peachtree Group	Credit - Hotel		0.2865	1.16	0.56			Credit / Debt	
Haven - Brevard, FL	Passco Companies	Multifamily / residential	FL	0.1896	1.8703	4.59	Brevard		Multifamily / Residential	
Walgreens Center - Sullivan, MO	Syndicated Equities	Retail	MO	-0.0107	0.9	9.31	Sullivan		Net Lease (NNN) Retail	
Country Inn & Suites (Note B) - California, MD	Peachtree Group	Credit - Hotel		0.3354	1.36	1.07			Credit / Debt	
Twenty25 - Kennesaw, GA	Passco Companies	Multifamily / residential	GA	0.2119	2.3773	6.5	Kennesaw		Multifamily / Residential	
Element - Orlando, FL	Peachtree Group	Hotel		0.2226	2.19	5.35			Hotel / Hospitality	
Fort Myers Multifamily DST	Inland Private Capital	Multifamily		0.0673	1.37	5.5			Multifamily / Residential	
Storesmart Durham	Reliant	Self storage		0.244343	2.16	4.75		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Wilkinson Spring Parc	Bluerock	Multifamily / residential	TX	0.109	1.13625	1.25	Dallas		Multifamily / Residential	
Meadows	Bluerock	Multifamily / residential	TX	0.485294	2.375	2.833333	Austin		Multifamily / Residential	
Courtyard - Binghamton, NY	Peachtree Group	Credit - Hotel		0.2203	2.09	4.95			Credit / Debt	
Pearce at Pavilion - Riverview, FL	Passco Companies	Multifamily / residential	FL	0.0955	1.6284	6.58	Riverview		Multifamily / Residential	
Park and Kingston	Bluerock	Multifamily / residential	NC	0.244566	2.365495	5.583333	Charlotte		Multifamily / Residential	
Midgard Cocoa	Reliant	Self storage		0.130156	1.64	4.92		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
KinderCare / Children's World	AEI	Net-leased early education / childcare	OH	0.076443	2.1264	14.735113	Twinsburg		Net Lease (NNN) Retail	
Global Logistics Office Building - Dublin, OH (LOAN DEFAULT - excluded from IPC disposition table)	Inland Private Capital	Office							Office	
DC MSA Retail DST	Inland Private Capital	Retail		0.0948	1.94	9.92			Net Lease (NNN) Retail	
Best Western Plus (Note A) - Cascade Locks, OR	Peachtree Group	Credit - Hotel		0.2909	1.09	0.31			Credit / Debt	
Four Points - Punta Gorda, FL	Peachtree Group	Credit - Hotel		0.4833	1.43	0.89			Credit / Debt	
Enders Place	Bluerock	Multifamily / residential	FL	0.12576	1.96416	7.666667	Orlando		Multifamily / Residential	
Marriott Residence Inn - Alexandria, VA	Syndicated Equities	Hotel	VA	-0.0129	0.87	10.08	Alexandria		Hotel / Hospitality	
CF Norterra Canyon Multifamily DST	Cantor Fitzgerald	Multifamily		0.116875	1.374	3.2		Not disclosed in PPM	Multifamily / Residential	
Timber Hollow Apartments - Fairfield, OH	Syndicated Equities	Multifamily / residential	OH	0.095	1.47	4.95	Fairfield		Multifamily / Residential	
Riverside	Bluerock	Multifamily / residential	FL	0.109077	1.599925	5.5	Jacksonville		Multifamily / Residential	
Midgard Murfreesboro Glenside	Reliant	Self storage		0.425127	1.71	1.67		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Applebee's	AEI	Net-leased restaurant	FL	0.080015	1.8765	10.954141	Destin		Net Lease (NNN) Retail	
Holiday Inn - Chandler, AZ	Peachtree Group	Credit - Hotel		0.1418	1.04	0.28			Credit / Debt	
Voyager - Nassau Bay, TX	Passco Companies	Multifamily / residential	TX	0.0706	1.3297	4.67	Nassau Bay		Multifamily / Residential	
Residence Inn - Decatur, GA	Peachtree Group	Credit - Hotel		0.1409	1.51	3.62			Credit / Debt	
Longitude 81 - Estero, FL	Passco Companies	Multifamily / residential	FL	0.1385	1.8545	6.17	Estero		Multifamily / Residential	
Hampton Inn - Canton, GA	Peachtree Group	Credit - Hotel		0.219	1.28	1.28			Credit / Debt	
Tapestry - Kahului, HI	Peachtree Group	Credit - Hotel		0.2158	1.52	2.41			Credit / Debt	
Sonesta ES Suites - Westport, MO	Peachtree Group	Credit - Hotel		0.1675	1.2	1.19			Credit / Debt	
Hollywood Video	AEI	Net-leased retail	AL	0.025582	1.2658	10.390144	Saraland		Net Lease (NNN) Retail	
University of Phoenix Building - Merrillville, IN (LOAN DEFAULT - excluded from IPC disposition table)	Inland Private Capital	Office							Office	
Midgard Key West	Reliant	Self storage		0.344343	2.12	3.25		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
CNL - 2nd DOT Los Angeles, CA	Peachtree Group	Credit - Mixed Use		-0.5904	0.57	0.73			Credit / Debt	
Outlook at Greystone	Bluerock	Multifamily / residential	AL	0.042276	1.21138	5	Birmingham		Multifamily / Residential	
KinderCare / Children's World	AEI	Net-leased early education / childcare	CO	0.028336	1.3533	12.468172	Monument		Net Lease (NNN) Retail	
La Quinta Inn & Suites - Lakeway, TX	Peachtree Group	Credit - Hotel		0.1821	1.95	5.22			Credit / Debt	
Tribute - San Diego, CA	Peachtree Group	Credit - Hotel		0.2007	1.2	1			Credit / Debt	
Midgard Bradenton Portfolio (2 prop)	Reliant	Self storage		0.380531	2.27	3.34		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Hampton Inn - Milwaukee, WI	Peachtree Group	Credit - Hotel		0.1625	1.63	3.88			Credit / Debt	
Sonesta ES Suites - Dublin, OH	Peachtree Group	Credit - Hotel		0.2339	1.57	2.44			Credit / Debt	
James on South First	Bluerock	Multifamily / residential	TX	0.213904	1.909091	4.25	Austin		Multifamily / Residential	
Homewood Suites - Durham, NC	Peachtree Group	Hotel		0.3947	1.87	2.2			Hotel / Hospitality	
Hampton Inn (Note B) - Alamosa, CO	Peachtree Group	Credit - Hotel		0.1922	1.18	0.94			Credit / Debt	
La Quinta (Note B) - Winchester, VA	Peachtree Group	Credit - Hotel		0.2192	1.24	1.1			Credit / Debt	
Home2 Suites - Albany, NY	Peachtree Group	Credit - Hotel		0.2524	1.76	3.01			Credit / Debt	
Hilton Garden Inn (Hartsfield) - Atlanta, Ga	Peachtree Group	Credit - Hotel		0.4783	1.22	0.46			Credit / Debt	
National Retail Portfolio Venture DST	Inland Private Capital	Retail		0.0728	1.75	10.3			Net Lease (NNN) Retail	
Zlife Hotel - Las Vegas, NV	Peachtree Group	Credit - Hotel		0.2693	1.57	2.12			Credit / Debt	
Brighton Multifamily DST	Inland Private Capital	Multifamily		0.0769	1.59	7.67			Multifamily / Residential	
The Links at Plum Creek	Bluerock	Multifamily / residential	CO	0.342687	2.54209	4.5	Castle Rock		Multifamily / Residential	
Severance Town Center - Cleveland Heights, OH	Syndicated Equities	Retail	OH	-0.0357	0.58	11.75	Cleveland Heights		Net Lease (NNN) Retail	
Beach House	Bluerock	Multifamily / residential	FL	0.117811	1.647959	5.5	Jacksonville		Multifamily / Residential	
Element - Detroit, MI (Bridge)	Peachtree Group	Credit - Hotel		0.1748	1.88	5.03			Credit / Debt	
RR-HV Venture Holdings DST	Inland Private Capital	Office		0.0764	1.85	11.13			Office	
Staybridge Suites - Augusta, GA	Peachtree Group	Credit - Hotel							Credit / Debt	
San Marcos Student Living DST	Inland Private Capital	Student housing		0.0565	1.49	8.67			Student Housing	
Hampton Inn - Tiffin, OH	Peachtree Group	Credit - Hotel		0.2244	1.18	0.8			Credit / Debt	
Chicagoland Fresh Market Venture DST	Inland Private Capital	Retail		0.1135	1.53	4.67			Net Lease (NNN) Retail	
Walker House Apartments - Gaithersburg, MD	Syndicated Equities	Multifamily / residential	MD	0.1607	1.62	3.86	Gaithersburg		Multifamily / Residential	
Champps	AEI	Net-leased restaurant	MI	-0.037333	0.6397	9.650924	Utica		Net Lease (NNN) Retail	
Hampton Inn & Suites - Charlotte, NC	Peachtree Group	Credit - Hotel		0.2087	1.12	0.57			Credit / Debt	
Comfort Suites - Fishers, IN/Comfort Inn - Avon, IN	Peachtree Group	Credit - Hotel		0	1	2.63			Credit / Debt	
MDA City	Bluerock	Multifamily / residential	IL	0.294171	2.32377	4.5	Chicago		Multifamily / Residential	
Colorado Multifamily Portfolio II DST	Inland Private Capital	Multifamily		0.14	1.56	4			Multifamily / Residential	
Hampton Inn - Lake Charles, LA	Peachtree Group	Credit - Hotel		0.2233	1.28	1.25			Credit / Debt	
Office Condo - Fort Worth, TX	Peachtree Group	Credit - Office							Credit / Debt	
Hilton Garden Inn - Cranberry, PA	Peachtree Group	Hotel		0.0741	1.22	2.97			Hotel / Hospitality	
Home2 Suites - St. Augustine, FL	Peachtree Group	Hotel		0.2236	2.51	6.75			Hotel / Hospitality	
Carino's KinderCare	AEI	Net-leased early education / childcare	TX	0.018073	1.186	10.291581	Irving		Net Lease (NNN) Retail	
Hampton Inn & Suites - Oakdale, MN	Peachtree Group	Credit - Hotel		0.091	1.33	3.62			Credit / Debt	
Wolfchase - Memphis, TN	Passco Companies	Multifamily / residential	TN	0.0924	1.6468	7	Memphis		Multifamily / Residential	
Courtyard - Gretna, LA	Peachtree Group	Credit - Hotel		0.0607	1.23	3.79			Credit / Debt	
Four Points - Brunswick, GA	Peachtree Group	Credit - Hotel		0.2168	1.46	2.12			Credit / Debt	
AC/Autograph - Sunnyvale, CA (PACE 2021)	Peachtree Group	Credit - Hotel		0.6519	2.99	3.05			Credit / Debt	
Plano 1031 Limited Partnership	Inland Private Capital	Office		-0.0437	0.61	8.92			Office	
Ashton Reserve	Bluerock	Multifamily / residential	NC	0.148647	1.706075	4.75	Charlotte		Multifamily / Residential	
AHT1 2018-ASHF - Various, US	Peachtree Group	Credit - Hotel		0.2739	1.03	0.11			Credit / Debt	
Applebee's	AEI	Net-leased restaurant	FL	0.111182	2.5774	14.187543	Temple Terrace		Net Lease (NNN) Retail	
Hampton Inn - Leesburg, FL	Peachtree Group	Credit - Hotel		0.1674	1.17	1.02			Credit / Debt	
Wingate Inn - Winchester, VA	Peachtree Group	Credit - Hotel		0.1539	1.26	1.69			Credit / Debt	
Hampton Inn - Tempe, AZ	Peachtree Group	Hotel		0.1259	1.49	3.89			Hotel / Hospitality	
Resort at Lake Crossing - Lexington, KY	Passco Companies	Multifamily / residential	KY	0.0237	1.2014	8.5	Lexington		Multifamily / Residential	
Holiday Inn & Suites - Homewood, AL	Peachtree Group	Credit - Hotel		0.3095	1.95	3.07			Credit / Debt	
Lansing Shopping Center - Lansing, IL (LOAN DEFAULT - excluded from IPC disposition table)	Inland Private Capital	Retail							Net Lease (NNN) Retail	
Social Security Administration - Fort Smith, AR	Syndicated Equities	Government / GSA-leased	AR	0.0467	1.57	12.22	Fort Smith		Government / GSA-Leased	
Taco Cabana	AEI	Net-leased restaurant	TX	0.110404	2.5322	13.878166	Waco		Net Lease (NNN) Retail	
Hotel on Philips (Note 1) - Sioux Falls, SD	Peachtree Group	Credit - Hotel		0.248	1.63	2.54			Credit / Debt	
Passco Development Fund I, LLC	Passco Companies	Undeveloped / pre-development land			0				Undeveloped Land	
Olathe Station - Olathe, KS	Passco Companies	Retail	KS	-0.0569	0.2365	11.92	Olathe		Net Lease (NNN) Retail	
Quinn35	Bluerock	Multifamily / residential	MA	0.093836	1.492639	5.25	Shrewsbury		Multifamily / Residential	
CF Pearland Multifamily DST	Cantor Fitzgerald	Multifamily		0.0328	1.082	2.5		Not disclosed in PPM	Multifamily / Residential	
CF Sawyer Multifamily DST	Cantor Fitzgerald	Multifamily		0.108824	1.37	3.4		Not disclosed in PPM	Multifamily / Residential	
