Investment Name	Sponsor	Property Type	Location	Average Annual Return	Equity Multiple	Holding Period	City	Location Note	Asset Class	Asset Class 2
Strategic Storage Trust IV, Inc. (SST IV)	Blue Door	Self storage						United States (multi-state)	Self Storage	
Cincinnati Eastgate 1031, L.L.C.	Inland Private Capital	Retail		-0.0338	0.6	11.83			Net Lease (NNN) Retail	
TownePlace Suites - Houston, TX	Peachtree Group	Credit - Hotel		0.1753	1.49	2.8			Credit / Debt	
Hilton Garden Inn - Indianapolis, IN	Peachtree Group	Hotel		0.1012	1.64	6.32			Hotel / Hospitality	
Holiday Inn Express - Pittston, PA	Peachtree Group	Credit - Hotel		0.083	1.03	0.36			Credit / Debt	
Johns Hopkins Applied Physics Lab - Laurel, MD	Syndicated Equities		MD	0.0815	1.95	11.66	Laurel			
La Quinta - Savannah, GA	Peachtree Group	Credit - Hotel		0.1545	1.85	5.5			Credit / Debt	
Fairfield Inn & Suites - Gadsden, AL	Peachtree Group	Hotel		0	1	14.16			Hotel / Hospitality	
Rite Aid	AEI	Net-leased pharmacy	NY	0.012121	1.233	19.22245	Cicero		Net Lease (NNN) Retail	
Staybridge Suites - Willowbrook, TX	Peachtree Group	Credit - Hotel		-0.041	0.81	4.64			Credit / Debt	
Wingate - Sioux City, IA	Peachtree Group	Credit - Hotel		0.2695	1.47	1.74			Credit / Debt	
LV-M Venture Holdings, DST	Inland Private Capital	Office		-0.0126	0.79	16.67			Office	
Sonesta Simply Suites - Detroit, MI	Peachtree Group	Credit - Hotel		0.1888	1.46	2.44			Credit / Debt	
Countrywood Crossing Shopping Center - Memphis, TN (LOAN DEFAULT - excluded from IPC disposition table)	Inland Private Capital	Retail							Net Lease (NNN) Retail	
Curio (Note 1) - Chattanooga, TN	Peachtree Group	Credit - Hotel		0.2016	1.51	2.53			Credit / Debt	
Fairfield Inn - Orange Beach, AL	Peachtree Group	Credit - Hotel		0.0887	1.22	2.48			Credit / Debt	
Element - Lone Tree , CO	Peachtree Group	Credit - Hotel		0.1785	1.39	2.18			Credit / Debt	
Thornton Flats	Bluerock	Multifamily / residential	TX	0.07892	1.17757	2.25	Austin		Multifamily / Residential	
LSC-FAUR MC3, DST	Livingston Street Capital	Not disclosed		0.105945	1.282521	2.67		Not disclosed		
Valley Townhomes	Bluerock	Multifamily / residential	WA	0.068878	1.780612	11.333333	Puyallup		Multifamily / Residential	
Country Inn & Suites - Rossford, OH	Peachtree Group	Credit - Hotel							Credit / Debt	
Embassy Suites - Williamsburg, VA	Peachtree Group	Hotel		0.0956	1.41	4.29			Hotel / Hospitality	
Arby's	AEI	Net-leased restaurant	TN	0.052226	2.0468	20.043806	Jackson		Net Lease (NNN) Retail	
Residence Inn - Pasadena, TX	Peachtree Group	Credit - Hotel		0.6606	1.17	0.26			Credit / Debt	
BJ's Restaurant & Brewhouse / Champps	AEI	Net-leased restaurant	MI	0.042076	1.7269	17.275838	Livonia		Net Lease (NNN) Retail	
Roswell City Walk	Bluerock	Multifamily / residential	GA	0.354928	3.070412	5.833333	Roswell		Multifamily / Residential	
FSC MRC Odessa TX, DST	Four Springs TEN31 Xchange	Industrial		0.092692	1.7851	8.47		United States	Industrial	
