Record ID	Property Type	Investment Name	Sponsor
recVcUHqFTpytz3bm	Credit - Hotel	My Place Hotel - Jamestown, ND	Peachtree Group
recVhlMJUnVej2Fgv	Credit - Other	Ample Korean Restaurant - Barstow, CA	Peachtree Group
recVjOIhDrvlml3FM	Multifamily / residential	Leigh House	Bluerock
recVpymRfVnrCor3Y	Credit - Hotel	DoubleTree - West Fargo, ND	Peachtree Group
recVrh4JLvO0ZTlln	Retail	Hillsboro 1031 DST	Inland Private Capital
recVwBjVvZQSxh82s	Credit - Hotel	Parkview Inn (Note A) - Syracuse, NY	Peachtree Group
recW5bKMQtwj2OFdS	Net-leased pharmacy	Rite Aid	AEI
recW6PmtIHHNv4y2i	Credit - Hotel	DoubleTree - Atlantic Beach, NC	Peachtree Group
recW7zcJEY4lan8d7	Retail	Memorial Square 1031, L.L.C.	Inland Private Capital
recWBa4titWaEYJk8	Hotel	Le Meridien Hotel - Chicago, IL	Syndicated Equities
recWDBzCeOfnIzatx	Credit - Hotel	Sonesta ES Suites - Minneapolis, MN	Peachtree Group
recWFrztBt1i1mMEu	Self storage	Midgard Naples 2	Reliant
recWRbp7cO2YhkdK4	Hotel	Hampton Inn & Suites - East Point, GA	Peachtree Group
recWTleRR6o21NfAI	Multifamily / residential	Weatherford BFR 185	Bluerock
recWUjtkeFVoanOLd	Credit - Hotel	Courtyard / Fairfield Inn and Suites - Lithia Springs, GA	Peachtree Group
recWVIAqWpwDtI0lO	Net-leased pharmacy	Rite Aid - Youngstown, OH	Syndicated Equities
recWXx9i4lwEe9IVe	Credit - Hotel	Sleep Inn Suites- Baltimore, MD	Peachtree Group
recWZQXVreCRTGpq0	Self storage	Storesmart Rockledge	Reliant
recWcEqTwOkthPlOP	Credit - Hotel	Days Inn - Gettysburg, PA	Peachtree Group
recWfp8c1KrOg98sn	Credit - Retail	Super Foodtown - Hempstead, NY	Peachtree Group
recWhTGbENCI4YQtG	Office	Bristol 1031 DST	Inland Private Capital
recWkFHYjxZgf6TQV	Net-leased retail	Tractor Supply	AEI
recWpJHz5V11xj7if	Credit - Hotel	Hilton Garden Inn - Arlington, VA	Peachtree Group
recWpOjZMfjw02NgW	Credit - Hotel	Springhill Suites - East Syracuse, NY	Peachtree Group
recWpknxa97WJ3tJW	Credit - Hotel	TownePlace Suites - Cincinnati, OH	Peachtree Group
recWtAjOdBsSyp1jA	Credit - Hotel	Hotel Indigo - Columbus, IN	Peachtree Group
recWuWE76lnRXrtP6	Multifamily / residential	Glenwood	Bluerock
recWyYgn7PRmiwh6W	Credit - Hotel	Hampton Inn & Suites (Note 1) - East Syracuse, NY	Peachtree Group
recWz4LOJYfecUYTu	Multifamily / residential	The Hartley at Blue Hill Loan	Bluerock
recX7uzbqq2Z5hQWv	Credit - Hotel	Hampton Inn (JFK) - Jamaica, NY	Peachtree Group
recXCbs09LuCD8Jqy	Net-leased restaurant	Tumbleweed	AEI
recXHSnu8vUn9KBCA	Multifamily / residential	Columns at Wakefield - Raleigh, NC	Passco Companies
recXPfMpRNa07TFDD	Multifamily / residential	Vue21 - Colorado Springs, CO	Passco Companies
recXaVPoy5t3TYOcm	Net-leased retail & healthcare	Net-Leased Portfolio 15	ExchangeRight
recXiw1mpA4Gl4KcZ	Credit - Hotel	Holiday Inn Express - Austell, GA	Peachtree Group
recXkCwCOfcwhgYcd	Undeveloped / pre-development land	Ontario, Canada - VTB SALES (vendor take-back)	Walton Global
recXtzBuYiTvIi00j	Credit - Hotel	Holiday Inn (A Note) - Bristol, VA	Peachtree Group
recY1V4rytFGSBy1x	Credit - Hotel	Resort at Port Arrowhead - Lake Ozark, MO	Peachtree Group
recY9ElITd1ucDEhn	Credit - Hotel	Holiday Inn Express - New Albany, IN	Peachtree Group
recYEFBdEaee3uMWe	Credit - Hotel	Element - Detroit, MI (Mezz)	Peachtree Group
recYIbTUvcXvfw00a	Net-leased retail	Aaron's	AEI
recYPqagJxt71I722	Multifamily / residential	Fox Hill	Bluerock
recYQf2NxTHMQ0KS0	Multifamily / residential	Brier Creek - Raleigh, NC	Passco Companies
recYRboWZpVjoLg3C	Retail	Olivet Church 1031, L.L.C.	Inland Private Capital
recYV6BSeIA14vvKZ	Credit - Hotel	Country Inn & Suites (Note 2) - Kearney, NE	Peachtree Group
recYYzgS1HWJTT6fg	Credit - Hotel	Best Western - Simi Valley, CA	Peachtree Group
recYgaUkJs6dbVA9v	Hotel	Crowne Plaza - Wauwatosa, WI	Peachtree Group
recYzQbmLllu9aUvz	Multifamily / residential	Willow Park	Bluerock
recZ0AkR2FUoOsXSU	Credit - Hotel	Homewood Suites - Gretna, LA	Peachtree Group
recZ73B1f9pqZXBP4	Credit - Hotel	Home2 Suites - Lakewood Ranch, FL	Peachtree Group
recZAR3p1eeB1wWHT	Multifamily / residential	Estates - Duluth, GA	Passco Companies
recZDFKgy0WMugwKz	Self storage	Storesmart Fayetteville GA	Reliant
recZEbaYNSnq0qAjC	Multifamily	Austin Lakeshore Multifamily DST	Inland Private Capital
recZF0qNDTxN0np2o	Self storage	Midgard Greenwood	Reliant
recZHpUd0nZTX4Idg	Credit - Hotel	Staybridge Suites - Plainfield, IN	Peachtree Group
recZNQ1yltGMkdT8j	Multifamily / residential	Ivy - Orlando, FL	Passco Companies
recZUvsqIHmplX2cw	Credit - Hotel	Springhill Suites - Panama City Beach, FL	Peachtree Group
recZb2g0xwLUQa67f	Multifamily / residential	Renew 3030	Bluerock
recZf3wu5zbNpXEFH	Self storage	Strategic Storage Growth Trust II, Inc. (SSGT II)	Blue Door
recZhqWjtzX1AJcAQ	Multifamily / residential	Orange City Apartments	Bluerock
recZqNEZFfsnAsUcc	Credit - Hotel	Country Inn & Suites - Birmingham, AL	Peachtree Group
recZsfdn1y4jXmNlP	Multifamily / residential	Veranda - Prospect, KY	Passco Companies
